,#,Name,GP,C,A,I,Eff,Pct,Yds,TD,Lng,Avg/Gm,FUM,LST,team
0,10,Jordan Ta'amu,9,155 , 285 , 4,92.9,54.4,2153,17,76,239.2,0 , 0,dc
1,17,Mike DiLiello,6,36 , 56 , 0,94.3,64.3,359,2,53,59.8,1 , 1,dc
2,12,Chris Rowland,10,1 , 1 , 0,143.8,100.0,9,1,9,0.9,2 , 1,dc
0,12,Luis Perez,10,224 , 313 , 5,95.2,71.6,2298,9,63,229.8,5 , 3,dallas
1,15,Holton Ahlers,7,1 , 3 , 1,42.4,33.3,2,1,2,0.3,1 , 0,dallas
0,1,J'Mar Smith,4,52 , 80 , 1,115.5,65.0,758,6,65,189.5,3 , 1,birmingham
1,2,Matt Corral,3,51 , 95 , 4,71.7,53.7,648,4,52,216.0,1 , 0,birmingham
2,6,Case Cookus,4,49 , 92 , 2,80.3,53.3,546,5,45,136.5,1 , 0,birmingham
3,14,Andrew Peasley,2,14 , 22 , 0,87.7,63.6,172,0,28,86.0,1 , 1,birmingham
4,10,Alex McGough,2,10 , 24 , 1,48.8,41.7,89,1,22,44.5,0 , 0,birmingham
0,5,Manny Wilkins,4,45 , 69 , 3,73.2,65.2,498,1,58,124.5,3 , 1,st-louis
1,18,Brandon Silvers,2,13 , 18 , 0,128.2,72.2,205,1,38,102.5,2 , 0,st-louis
2,8,Blake Jackson,10,1 , 1 , 0,158.3,100.0,57,1,57,5.7,0 , 0,st-louis
0,5,E.J. Perry,6,55 , 94 , 5,62.3,58.5,598,2,49,99.7,2 , 1,memphis
1,3,Troy Williams,5,24 , 42 , 1,62.6,57.1,230,0,38,46.0,0 , 0,memphis
0,3,Bryce Perkins,7,109 , 158 , 2,108.7,69.0,1342,9,45,191.7,5 , 1,michigan
1,8,Danny Etling,8,55 , 96 , 2,84.1,57.3,590,5,45,73.8,2 , 1,michigan
2,12,Rocky Lombardi,2,8 , 18 , 1,30.1,44.4,61,0,13,30.5,1 , 1,michigan
0,8,Jalan McClendon,7,147 , 225 , 3,87.0,65.3,1464,6,46,209.1,6 , 0,houston
1,13,Anthony Brown,3,27 , 56 , 3,41.3,48.2,207,1,23,69.0,0 , 0,houston
2,14,Nolan Henderson,4,20 , 36 , 0,88.1,55.6,183,2,29,45.8,1 , 0,houston
0,12,Kellen Mond,7,98 , 171 , 2,69.6,57.3,850,2,30,121.4,1 , 0,san-antonio
1,8,Kevin Hogan,3,51 , 82 , 4,67.1,62.2,500,2,56,166.7,1 , 1,san-antonio
2,18,Jarrett Guarantano,1,6 , 15 , 1,20.1,40.0,29,0,9,29.0,0 , 0,san-antonio
